id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,height,stories,year_compl,prjarea,singfamhu,smmultifam,lgmultifam,hu,gqpop,rptdemp,commsf,hotelrms,onsitepark,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,latitude,longitude,mixed_use,created_at,updated_at,municipal,devlper,yrcomp_est,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,headqtrs,park_type,publicsqft,unknownhu,aff_unknown,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,mepa_id,traffic_count_data,mepa_id_present,traffic_count_data_present
538,344,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,RCG East Mill,completed,Residential development in North Andover,,21 High Street,MA,01845,,,2018,,0,0,51,51,0,,0,0,0,,0,0,0,0,0,0,0,0,42.70163054,-71.12460754,FALSE,2017-11-07 11:38:52 UTC,2020-02-27 20:19:17 UTC,North Andover,,FALSE,,,,0,0,0,0,0,FALSE,,0,,,,M_230839_939019,2013,Merrimack Valley Planning Commission,Essex,,"[""RTA: LRTA"", ""RTA: MVRTA""]",,,,
539,344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bradstreet on Main,completed,Mixed use commercial on Maine and apartments on Saunders An exciting commercial opportunity coming to North Andover. Be part of the new signature development taking place on Main Street.,,70 Main Street,MA,01810,,2,2017,,0,0,15,15,0,,18000,0,0,,9000,9000,0,0,0,0,0,0,42.65856935,-71.14249097,TRUE,2017-11-07 11:59:45 UTC,2020-02-21 15:18:12 UTC,Andover,,FALSE,,,,0,0,0,0,0,FALSE,,0,,,,F_752294_3065224,2016,Merrimack Valley Planning Commission,Essex,,"[""Commuter Rail: Andover""]",,,,
2175,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lowland Farms,completed,"Residential Each of these 20, single-unit condo buildings will have five bedrooms.",,Lowland Farm Rd,MA,01929,,,2011,,,20,,20,,,0,,,,0,0,0,0,0,0,0,,42.62540878,-70.78465501,FALSE,2011-03-19 07:00:00 UTC,2018-04-24 21:04:38 UTC,Essex,,FALSE,,,20,,,,,,FALSE,,,,,,M_258682_930783,2018,Metropolitan Area Planning Council,Essex,,[],,,,
738,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,450 Cambridge Street,completed,mixed use rental with ground floor retail and on site garage parking,http://www.bostonplans.org/getattachment/03dbc2ae-a64e-4132-97ee-acc03f26d4ec,450 Cambridge Street,MA,02134,46,4,2017,49810,0,0,40,40,0,,1631,0,40,16500000,1631,0,0,0,0,0,0,0,42.35389491,-71.13559423,TRUE,2014-12-09 15:48:29 UTC,2020-01-02 14:39:11 UTC,Boston,The Arcand Family/Allston LLC and Eagle Development Partners,FALSE,,,,5,0,0,0,5,FALSE,garage,0,,,,M_230015_900450,2017,Metropolitan Area Planning Council,Suffolk,Allston,"[""Rapid Transit: Harvard Avenue""]",,,,
4,362,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,201 West Brookline Street,completed,"luxury condo units in restored Concord Baptist Church in heart of South Boston. By Triad Alpha Partners  In restored and modernized church, features 1 penthouse unit and underground garage",,201 west brookline street,MA,02118,,5,2018,29314,0,0,9,9,0,,0,0,21,,0,0,0,0,0,0,0,0,42.34338867,-71.07642061,FALSE,2018-04-24 19:03:47 UTC,2020-02-17 21:06:11 UTC,Boston,Triad Alpha Partners  ,FALSE,,,,0,0,0,0,0,FALSE,underground,0,,,,M_234908_899298,2017,Metropolitan Area Planning Council,Suffolk,South End,"[""Rapid Transit: Back Bay""]",,,,
5,362,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Christopher Heights - Belchertown,completed,"mixed income assisted living senior housing. By Grantham Group, at former Belchertown State School, on less than 5 acre parcel43 designated for low income seniors40 permanent jobs will be created to run facility, and 60 construction jobs created",,8 Berkshire Ave,MA,01007,,3,2018,55000,0,0,83,83,0,100,0,0,0,15900000,0,0,0,0,0,0,0,0,42.27330757,-72.41436426,FALSE,2018-04-24 19:03:49 UTC,2020-02-27 20:20:45 UTC,Belchertown,Grantham Group,FALSE,,,,43,0,43,0,0,FALSE,,0,,,,M_124582_891817,2018,Pioneer Valley Planning Commission,Hampshire,,"[""RTA: PVTA""]",,,,
282,256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 Lewis St,completed, Application to renovate a four story structure to continue the use for existing businesses on the lower two floors & provide a single residential unit on the upper two floors is before both the Planning Board & ZBA. Interior & exterior renovations are being proposed.  Because the lot is less than two acres it requires a Special Permit by the ZBA and a report by the Planning Board to the ZBA.,,"2 Lewis St, Lincoln, MA, United States",MA,01773,,4,2018,,0,1,0,1,0,,0,0,23,,0,0,0,0,0,0,0,0,42.41381156,-71.32602942,TRUE,2017-03-22 21:00:52 UTC,2020-02-27 20:22:23 UTC,Lincoln,,FALSE,,,,0,0,0,0,0,FALSE,,0,,,,M_214321_907039,2014,Metropolitan Area Planning Council,Middlesex,,"[""Commuter Rail: Lincoln""]",,,,
6,362,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Ludlow Mills - Residences at Mill 10,completed,"Mixed income affordable senior housing as part of Ludlow Mills redevelopment. By WinnCompaniesResidences include 63 one-bedrooms and 12 two-bedrooms. 51 residences at Residences at Mill 10 are reserved for households with incomes at or below 60% of AMI, with 15 restricted to households at or below 30% of AMI and nine offered at market rates.",,68 State Street,MA,01056,,4,2017,108163,0,0,75,75,0,,,,0,19300000,,,,,,,,,42.15534452,-72.47947034,FALSE,2018-04-24 19:03:52 UTC,2018-04-24 19:03:54 UTC,Ludlow,WinnCompanies,FALSE,63,12,,66,15,,51,,FALSE,,,,,,M_119400_878772,2014,Pioneer Valley Planning Commission,Hampden,,"[""RTA: PVTA""]",,,,
289,256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,227 Grove St,planning,"36 homes split among 19 buildings and a 45,000 square foot park including four single-family homes*** Janurary 2021, there is not much information listed about this development. In 2016, it was listed that this development was receiving alot of opposition from the community. However, there is nothing else specifically discussing the development , not even on the town site",,227 Grove St,MA,02420,,,2021,,4,32,0,36,0,,0,,0,,,,,,,,,,42.48717092,-71.24113625,FALSE,2017-04-04 16:00:16 UTC,2021-01-03 22:30:12 UTC,Lexington,,FALSE,,,,,,,,,FALSE,,45000,,,0,F_726017_3002679,2017,Metropolitan Area Planning Council,Middlesex,,"[""RTA: LEXPRESS""]",,,,
1135,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4 Foskett Street,completed,,,4 Foskett Street,MA,02144,,,2007,,,3,,3,,,,,,,0,0,0,0,0,0,0,,42.39676706,-71.11520116,FALSE,2011-03-19 07:00:00 UTC,2018-04-24 20:06:09 UTC,Somerville,,FALSE,,,,,,,,,FALSE,,,,,,F_760107_2969846,2013,Metropolitan Area Planning Council,Middlesex,Davis Square,"[""Rapid Transit: Ball Square Glx""]",,,,
