stop_id,stop_name,latitude,longitude,line
10029,Alewife,42.394907,-71.140981,Red
11404,Davis,42.396064,-71.122055,Red
13912,Porter Square,42.388346,-71.119244,Red
12084,Harvard Square,42.373939,-71.119106,Red
10919,Central,42.365163,-71.103323,Red
12412,Kendall/MIT,42.362460,-71.086586,Red
11048,Charles/MGH,42.361271,-71.072080,Red
13771,Park Street,42.356197,-71.062295,Red
11473,Downtown Crossing,42.355295,-71.060788,Red
14435,South Station,42.351710,-71.055000,Red
10641,Broadway,42.342900,-71.057130,Red
10062,Andrew,42.329550,-71.056960,Red
12410,JFK/UMass,42.321438,-71.052393,Red
14289,Savin Hill,42.311307,-71.053230,Red
11781,Fields Corner,42.300262,-71.060708,Red
14352,Shawmut,42.292794,-71.065782,Red
15481,Ashmont,42.285924,-71.064219,Red
15659,Cedar Grove,42.278420,-71.059742,Red
15660,Butler,42.272117,-71.062768,Red
15692,Milton,42.270347,-71.067950,Red
15664,Central Avenue,42.270013,-71.073250,Red
15665,Valley Road,42.267893,-71.083066,Red
15667,Capen Street,42.267568,-71.087229,Red
15668,Mattapan,42.267457,-71.093130,Red
13524,North Quincy,42.274816,-71.029176,Red
15412,Wollaston,42.265615,-71.019402,Red
13981,Quincy Center,42.250879,-71.004798,Red
13946,Quincy Adams,42.232752,-71.007149,Red
10431,Braintree,42.208780,-71.001334,Red
15675,Lechmere,42.370582,-71.076884,Green
15585,Science Park,42.366678,-71.068164,Green
15583,North Station,42.365512,-71.061423,Green
15582,Haymarket,42.362498,-71.058996,Green
15580,Government Center,42.359297,-71.059895,Green
15596,Boylston Street,42.352391,-71.064870,Green
15595,Arlington,42.351868,-71.070498,Green
15593,Copley,42.349962,-71.078089,Green
15670,Hynes Convention Center,42.348097,-71.088396,Green
15591,Kenmore,42.348797,-71.095296,Green
11182,Blandford Street,42.349297,-71.100796,Green
10693,Boston University East,42.349648,-71.103825,Green
10690,Boston University Central,42.349934,-71.106187,Green
10694,Boston University West,42.350901,-71.114073,Green
11203,St. Paul Street B,42.351131,-71.115907,Green
11201,Pleasant Street,42.351345,-71.118214,Green
11180,Babcock Street,42.351741,-71.121261,Green
11185,Packards Corner,42.352074,-71.124866,Green
11194,Harvard Avenue,42.350235,-71.131024,Green
11197,Griggs Street,42.348712,-71.134157,Green
11178,Allston Street,42.348443,-71.137784,Green
11210,Warren Street,42.348475,-71.140294,Green
11212,Washington Street B,42.343685,-71.142869,Green
11189,Sutherland Street,42.341496,-71.146624,Green
11207,Chiswick Road,42.340339,-71.151302,Green
11187,Chestnut Hill Avenue,42.338086,-71.153340,Green
11202,South Street,42.339577,-71.157782,Green
10369,Boston College,42.339942,-71.166193,Green
15681,St. Marys Street,42.346135,-71.106809,Green
15621,Hawes Street,42.344954,-71.111015,Green
15623,Kent Street,42.343997,-71.114596,Green
15624,St. Paul Street C,42.343225,-71.117345,Green
15625,Coolidge Corner,42.342097,-71.121396,Green
15627,Summit Avenue,42.341282,-71.124619,Green
15629,Brandon Hall,42.340072,-71.128526,Green
15683,Fairbanks,42.339609,-71.131346,Green
15655,Washington Square,42.339339,-71.135423,Green
15633,Tappan Street,42.338467,-71.138792,Green
15634,Dean Road,42.337706,-71.141968,Green
15636,Englewood Avenue,42.337135,-71.145122,Green
15685,Cleveland Circle,42.335897,-71.150723,Green
15617,Fenway,42.345287,-71.104395,Green
15680,Longwood,42.340450,-71.110897,Green
15614,Brookline Village,42.332043,-71.118118,Green
15679,Brookline Hills,42.331210,-71.125864,Green
15611,Beaconsfield,42.335961,-71.141603,Green
15609,Reservoir,42.334938,-71.149403,Green
15607,Chestnut Hill,42.326673,-71.165518,Green
15605,Newton Center,42.329354,-71.192318,Green
15604,Newton Highland,42.321700,-71.206180,Green
15602,Eliot,42.319193,-71.216919,Green
15601,Waban,42.326261,-71.231178,Green
15676,Woodland,42.333685,-71.244922,Green
15598,Riverside,42.337111,-71.251734,Green
15639,Prudential,42.345636,-71.081586,Green
15640,Symphony,42.342697,-71.085095,Green
15642,Northeastern University,42.340323,-71.088892,Green
15643,Museum of Fine Arts,42.337722,-71.095480,Green
15645,Longwood Medical Area,42.335837,-71.100652,Green
15646,Brigham Circle,42.334097,-71.104996,Green
15648,Fenwood Road,42.333748,-71.105586,Green
15689,Mission Park,42.333225,-71.107078,Green
15690,Riverway,42.331980,-71.112077,Green
15652,Back of the Hill,42.330076,-71.111336,Green
15653,Heath Street,42.328759,-71.110597,Green
10409,Bowdoin,42.361457,-71.062129,Blue
10180,State,42.358897,-71.057795,Blue
14486,Aquarium,42.359456,-71.053570,Blue
13699,Maverick,42.368860,-71.039926,Blue
15417,Airport,42.372733,-71.035194,Blue
10018,Wood Island,42.380797,-71.023394,Blue
13119,Orient Heights,42.386676,-71.006628,Blue
10077,Suffolk Downs,42.388402,-71.000358,Blue
14474,Beachmont,42.397419,-70.992193,Blue
11913,Revere Beach,42.407163,-70.992193,Blue
15415,Wonderland,42.414246,-70.992144,Blue
13642,Oak Grove,42.435343,-71.071190,Orange
12975,Malden Center,42.427313,-71.073872,Orange
15231,Wellington,42.404296,-71.077005,Orange
14490,Sullivan Square,42.383013,-71.077101,Orange
11258,Community College,42.372638,-71.070278,Orange
11108,Chinatown,42.352228,-71.062892,Orange
13443,Tufts Medical Center,42.349873,-71.063795,Orange
10124,Back Bay,42.347277,-71.076039,Orange
13073,Massachusetts Avenue,42.341552,-71.083217,Orange
14166,Ruggles,42.335667,-71.090523,Orange
14153,Roxbury Crossing,42.331527,-71.095405,Orange
12395,Jackson Square,42.322739,-71.100082,Orange
14477,Stony Brook,42.319201,-71.102829,Orange
11952,Green Street,42.310569,-71.107314,Orange
11788,Forest Hills,42.300362,-71.113411,Orange
25133,Courthouse,42.352074,-71.045301,Silver
25092,World Trade Center,42.348839,-71.042533,Silver
25100,Silver Line Way,42.348015,-71.037169,Silver
