municipal_norm,units_total,affordable_units,projects,transit_project_share,municipality,single_family_share,is_mbta,pop,hh,compliance_pct,nhwhi_p,nhaa_p,nhas_p,lat_p,affordable_share,units_per_1k_residents,zoning_bin
abington,952,59.0,11,1.0,Abington,,,,,,,,,,0.06197478991596639,,Most flexible zoning
acton,1199,109.0,28,1.0,Acton,3.39519044960655,1.0,1090.0,1802.0,96.591,63.1,2.4,25.1,3.8,0.09090909090909091,1100.0,Most flexible zoning
agawam,128,62.0,3,1.0,Agawam,,,,,,,,,,0.484375,,Most flexible zoning
amesbury,923,160.0,9,1.0,Amesbury,,,,,,,,,,0.1733477789815818,,Most flexible zoning
amherst,1547,67.0,12,1.0,Amherst,,,,,,,,,,0.04330963154492566,,Most flexible zoning
andover,907,264.0,9,1.0,Andover,,,,,,,,,,0.29106945975744214,,Most flexible zoning
arlington,912,339.0,16,1.0,Arlington,66.8365256219994,1.0,653.0,1213.0,97.824,75.2,2.3,12.2,4.6,0.3717105263157895,1396.6309341500767,Moderately flexible
ashland,1157,60.0,22,1.0,Ashland,85.0623965152113,1.0,646.0,2652.0,95.769,68.5,2.7,13.1,6.1,0.05185825410544512,1791.0216718266254,Moderately flexible
attleboro,128,48.0,3,1.0,Attleboro,,,,,,,,,,0.375,,Most flexible zoning
auburn,57,55.0,2,1.0,Auburn,,,,,,,,,,0.9649122807017544,,Most flexible zoning
avon,137,92.0,3,1.0,Avon,,,,,,,,,,0.6715328467153284,,Most flexible zoning
ayer,295,0.0,3,1.0,Ayer,,,,,,,,,,0.0,,Most flexible zoning
barnstable,660,34.0,3,1.0,Barnstable,,,,,,,,,,0.051515151515151514,,Most flexible zoning
bedford,716,33.0,20,1.0,Bedford,0.0,1.0,875.0,1070.0,96.526,73.5,2.5,15.6,3.6,0.046089385474860335,818.2857142857143,Most flexible zoning
belchertown,634,53.0,5,1.0,Belchertown,,,,,,,,,,0.083596214511041,,Most flexible zoning
bellingham,60,30.0,3,1.0,Bellingham,0.0,1.0,604.0,1085.0,94.797,85.4,1.8,3.0,4.4,0.5,99.33774834437085,Most flexible zoning
belmont,435,60.0,4,1.0,Belmont,75.0166180336951,1.0,231.0,969.0,96.313,69.6,1.9,18.5,4.7,0.13793103448275862,1883.1168831168832,Moderately flexible
berlin,201,0.0,1,1.0,Berlin,,,,,,,,,,0.0,,Most flexible zoning
beverly,2183,660.0,61,1.0,Beverly,28.5679848284158,1.0,752.0,1550.0,96.392,84.6,2.1,2.2,6.3,0.3023362345396244,2902.925531914894,Moderately flexible
billerica,1144,200.0,13,1.0,Billerica,,,,,,,,,,0.17482517482517482,,Most flexible zoning
blackstone,26,14.0,2,1.0,Blackstone,,,,,,,,,,0.5384615384615384,,Most flexible zoning
bolton,406,60.0,13,1.0,Bolton,100.0,0.0,169.0,967.0,95.778,86.5,0.3,4.7,2.6,0.1477832512315271,2402.3668639053253,Moderately flexible
